Timestamp,CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Memory usage [%],Disk read throughput [KB/s],Disk write throughput [KB/s],Disk size [GB],Network received throughput [KB/s],Network transmitted throughput [KB/s],Disk throughput,Network throughput,Overall usage,Winner
05.11.2015 03:00:00,2,0,71,1.55,8388608,1077936,12.85,0,8,64,6,6,8,12,34.4,1
05.11.2015 03:05:00,2,0,72,1.58,8388608,943718,11.25,0,8,64,5,5,8,10,30.83,0
05.11.2015 03:10:00,2,0,71,1.57,8388608,832150,9.92,0,8,64,5,5,8,10,29.490000000000002,0
05.11.2015 03:15:00,2,0,79,1.73,8388608,977273,11.65,0,8,64,6,5,8,11,32.38,0
05.11.2015 03:20:00,2,0,71,1.56,8388608,1547698,18.45,0,7,64,5,5,7,10,37.01,1
05.11.2015 03:25:00,2,0,72,1.58,8388608,1022571,12.19,0,7,64,5,5,7,10,30.77,0
05.11.2015 03:30:00,2,0,70,1.54,8388608,1005794,11.99,0,7,64,6,6,7,12,32.53,0
05.11.2015 03:35:00,2,0,73,1.6,8388608,989017,11.79,0,7,64,5,5,7,10,30.39,0
05.11.2015 03:40:00,2,0,75,1.64,8388608,1072903,12.79,0,36,64,5,5,36,10,60.43,1
05.11.2015 03:45:00,2,0,70,1.52,8388608,821245,9.79,0,7,64,6,5,7,11,29.31,0
05.11.2015 03:50:00,2,0,72,1.58,8388608,1039349,12.39,0,6,64,5,5,6,10,29.97,0
05.11.2015 03:55:00,2,0,73,1.59,8388608,905131,10.79,0,7,64,5,5,7,10,29.38,0
05.11.2015 04:00:00,2,0,71,1.56,8388608,1005794,11.99,0,7,64,6,6,7,12,32.55,0
05.11.2015 04:05:00,2,0,73,1.6,8388608,921908,10.99,0,8,64,5,5,8,10,30.59,0
05.11.2015 04:10:00,2,0,72,1.58,8388608,1106457,13.19,0,8,64,5,5,8,10,32.769999999999996,0
05.11.2015 04:15:00,2,0,81,1.78,8388608,1190343,14.19,0,7,64,6,5,7,11,33.97,1
05.11.2015 04:20:00,2,0,70,1.54,8388608,1509111,17.99,0,7,64,5,5,7,10,36.53,1
05.11.2015 04:25:00,2,0,70,1.54,8388608,989017,11.79,0,7,64,5,5,7,10,30.33,0
05.11.2015 04:30:00,2,0,69,1.52,8388608,854799,10.19,0,6,64,6,5,6,11,28.71,0
05.11.2015 04:35:00,2,0,71,1.56,8388608,1022571,12.19,0,8,64,5,5,8,10,31.75,0
05.11.2015 04:40:00,2,0,71,1.56,8388608,821245,9.79,0,6,64,5,5,6,10,27.35,0
05.11.2015 04:45:00,2,0,70,1.52,8388608,989017,11.79,0,7,64,6,5,7,11,31.31,0
05.11.2015 04:50:00,2,0,73,1.59,8388608,921908,10.99,0,6,64,5,5,6,10,28.58,0
05.11.2015 04:55:00,2,0,73,1.59,8388608,854799,10.19,0,7,64,5,5,7,10,28.78,0
05.11.2015 05:00:00,2,0,72,1.57,8388608,989017,11.79,0,9,64,6,6,9,12,34.36,1
05.11.2015 05:05:00,2,0,73,1.61,8388608,854799,10.19,0,9,64,5,5,9,10,30.799999999999997,0
05.11.2015 05:10:00,2,0,72,1.59,8388608,921908,10.99,0,7,64,5,5,7,10,29.58,0
05.11.2015 05:15:00,2,0,81,1.78,8388608,848927,10.12,0,7,64,6,6,7,12,30.9,0
05.11.2015 05:20:00,2,0,71,1.56,8388608,1391670,16.59,0,8,64,5,5,8,10,36.15,1
05.11.2015 05:25:00,2,0,72,1.58,8388608,989017,11.79,0,8,64,5,5,8,10,31.369999999999997,0
05.11.2015 05:30:00,2,0,69,1.51,8388608,905131,10.79,0,6,64,6,5,6,11,29.299999999999997,0
05.11.2015 05:35:00,2,0,73,1.6,8388608,921908,10.99,0,7,64,5,5,7,10,29.59,0
05.11.2015 05:40:00,2,0,71,1.57,8388608,972240,11.59,0,7,64,5,5,7,10,30.16,0
05.11.2015 05:45:00,2,0,70,1.52,8388608,972240,11.59,0,7,64,6,6,7,12,32.11,0
05.11.2015 05:50:00,2,0,72,1.58,8388608,905131,10.79,0,7,64,5,5,7,10,29.369999999999997,0
05.11.2015 05:55:00,2,0,72,1.58,8388608,1140012,13.59,0,7,64,5,5,7,10,32.17,0
05.11.2015 06:00:00,2,0,71,1.55,8388608,787690,9.39,0,7,64,6,6,7,12,29.94,0
05.11.2015 06:05:00,2,0,73,1.59,8388608,1039349,12.39,0,7,64,5,5,7,10,30.98,0
05.11.2015 06:10:00,2,0,72,1.57,8388608,1039349,12.39,0,7,64,5,5,7,10,30.96,0
05.11.2015 06:15:00,2,0,81,1.77,8388608,1039349,12.39,0,7,64,6,6,7,12,33.16,1
05.11.2015 06:20:00,2,0,70,1.54,8388608,1374893,16.39,0,7,64,5,5,7,10,34.93,1
05.11.2015 06:25:00,2,0,72,1.57,8388608,1005794,11.99,0,8,64,5,5,8,10,31.560000000000002,0
05.11.2015 06:30:00,2,0,70,1.53,8388608,921908,10.99,0,7,64,6,6,7,12,31.52,0
05.11.2015 06:35:00,2,0,72,1.58,8388608,1140012,13.59,0,8,64,5,5,8,10,33.17,1
05.11.2015 06:40:00,2,0,71,1.56,8388608,955462,11.39,0,8,64,5,5,8,10,30.950000000000003,0
05.11.2015 06:45:00,2,0,70,1.53,8388608,804468,9.59,0,6,64,6,6,6,12,29.119999999999997,0
05.11.2015 06:50:00,2,0,73,1.6,8388608,1022571,12.19,0,7,64,5,5,7,10,30.79,0
05.11.2015 06:55:00,2,0,73,1.59,8388608,972240,11.59,0,7,64,5,5,7,10,30.18,0
05.11.2015 07:00:00,2,0,71,1.55,8388608,1039349,12.39,0,6,64,6,6,6,12,31.94,0
05.11.2015 07:05:00,2,0,72,1.59,8388608,821245,9.79,0,7,64,5,5,7,10,28.38,0
05.11.2015 07:10:00,2,0,71,1.56,8388608,888354,10.59,0,7,64,5,5,7,10,29.15,0
05.11.2015 07:15:00,2,0,80,1.76,8388608,1039349,12.39,0,7,64,6,5,7,11,32.15,0
05.11.2015 07:20:00,2,0,72,1.57,8388608,1358116,16.19,0,8,64,5,5,8,10,35.760000000000005,1
05.11.2015 07:25:00,2,0,72,1.58,8388608,854799,10.19,0,8,64,5,5,8,10,29.77,0
05.11.2015 07:30:00,2,0,70,1.54,8388608,759169,9.05,0,7,64,6,6,7,12,29.59,0
05.11.2015 07:35:00,2,0,73,1.59,8388608,972240,11.59,0,8,64,5,5,8,10,31.18,0
05.11.2015 07:40:00,2,0,72,1.58,8388608,977273,11.65,0,7,64,5,5,7,10,30.23,0
05.11.2015 07:45:00,2,0,68,1.49,8388608,893387,10.65,0,7,64,6,5,7,11,30.14,0
05.11.2015 07:50:00,2,0,73,1.6,8388608,1027604,12.25,0,7,64,5,5,7,10,30.85,0
05.11.2015 07:55:00,2,0,71,1.56,8388608,966368,11.52,0,7,64,5,5,7,10,30.08,0
05.11.2015 08:00:00,2,0,69,1.52,8388608,899259,10.72,0,6,64,6,5,6,11,29.240000000000002,0
05.11.2015 08:05:00,2,0,71,1.56,8388608,888354,10.59,0,7,64,5,5,7,10,29.15,0
05.11.2015 08:10:00,2,0,71,1.56,8388608,832150,9.92,0,7,64,5,5,7,10,28.48,0
05.11.2015 08:15:00,2,0,82,1.8,8388608,972240,11.59,0,8,64,6,6,8,12,33.39,1
05.11.2015 08:20:00,2,0,69,1.52,8388608,1268358,15.12,0,7,64,5,5,7,10,33.64,1
05.11.2015 08:25:00,2,0,71,1.56,8388608,977273,11.65,0,7,64,5,5,7,10,30.21,0
05.11.2015 08:30:00,2,0,69,1.51,8388608,1027604,12.25,0,6,64,6,5,6,11,30.759999999999998,0
05.11.2015 08:35:00,2,0,72,1.57,8388608,1161822,13.85,0,7,64,5,5,7,10,32.42,0
05.11.2015 08:40:00,2,0,70,1.52,8388608,1050254,12.52,0,6,64,5,5,6,10,30.04,0
05.11.2015 08:45:00,2,0,70,1.53,8388608,1044382,12.45,0,8,64,5,5,8,10,31.979999999999997,0
05.11.2015 08:50:00,2,0,72,1.58,8388608,859832,10.25,0,7,64,5,5,7,10,28.83,0
05.11.2015 08:55:00,2,0,71,1.56,8388608,687027,8.19,0,8,64,5,5,8,10,27.75,0
05.11.2015 09:00:00,2,0,69,1.52,8388608,815373,9.72,0,7,64,6,5,7,11,29.240000000000002,0
05.11.2015 09:05:00,2,0,72,1.58,8388608,899259,10.72,0,8,64,5,5,8,10,30.3,0
05.11.2015 09:10:00,2,0,70,1.53,8388608,838022,9.99,0,8,64,5,5,8,10,29.52,0
05.11.2015 09:15:00,2,0,80,1.76,8388608,1044382,12.45,0,7,64,6,5,7,11,32.21,0
05.11.2015 09:20:00,2,0,69,1.52,8388608,1436130,17.12,0,7,64,5,5,7,10,35.64,1
05.11.2015 09:25:00,2,0,70,1.54,8388608,1039349,12.39,0,7,64,5,5,7,10,30.93,0
05.11.2015 09:30:00,2,0,67,1.48,8388608,1072903,12.79,0,6,64,6,5,6,11,31.27,0
05.11.2015 09:35:00,2,0,72,1.57,8388608,926941,11.05,0,7,64,5,5,7,10,29.62,0
05.11.2015 09:40:00,2,0,74,1.63,8388608,1010827,12.05,0,19,64,19,6,19,25,57.68,1
05.11.2015 09:45:00,2,0,70,1.53,8388608,1010827,12.05,0,7,64,6,6,7,12,32.58,0
05.11.2015 09:50:00,2,0,72,1.58,8388608,893387,10.65,0,8,64,5,5,8,10,30.23,0
05.11.2015 09:55:00,2,0,72,1.57,8388608,854799,10.19,0,8,64,5,5,8,10,29.759999999999998,0
05.11.2015 10:00:00,2,0,71,1.56,8388608,1027604,12.25,0,8,64,6,6,8,12,33.81,1
05.11.2015 10:05:00,2,0,150,3.28,8388608,989017,11.79,0,9,64,6,6,9,12,36.07,1
05.11.2015 10:10:00,2,0,219,4.79,8388608,1559442,18.59,0,9,64,182,13,9,195,227.38,1
05.11.2015 10:15:00,2,0,1637,35.63,8388608,1727214,20.59,0,482,64,9,7,482,16,554.22,1
05.11.2015 10:20:00,2,0,100,2.19,8388608,2107218,25.12,0,76,64,5,5,76,10,113.31,1
05.11.2015 10:25:00,2,0,110,2.41,8388608,1598030,19.05,0,10,64,5,5,10,10,41.46,1
05.11.2015 10:30:00,2,0,74,1.62,8388608,1463812,17.45,0,8,64,5,5,8,10,37.07,1
05.11.2015 10:35:00,2,0,75,1.64,8388608,960496,11.45,0,8,64,5,5,8,10,31.09,0
05.11.2015 10:40:00,2,0,74,1.63,8388608,1150917,13.72,0,7,64,5,5,7,10,32.35,0
05.11.2015 10:45:00,2,0,71,1.55,8388608,1128268,13.45,0,8,64,5,5,8,10,33.0,1
05.11.2015 10:50:00,2,0,74,1.61,8388608,1039349,12.39,0,8,64,5,5,8,10,32.0,0
05.11.2015 10:55:00,2,0,76,1.67,8388608,1150917,13.72,0,8,64,5,5,8,10,33.39,1
05.11.2015 11:00:00,2,0,75,1.63,8388608,1022571,12.19,0,8,64,6,6,8,12,33.82,1
05.11.2015 11:05:00,2,0,78,1.7,8388608,989017,11.79,0,9,64,5,7,9,12,34.489999999999995,1
05.11.2015 11:10:00,2,0,73,1.6,8388608,943718,11.25,0,8,64,5,5,8,10,30.85,0
05.11.2015 11:15:00,2,0,77,1.7,8388608,943718,11.25,0,8,64,5,5,8,10,30.95,0
05.11.2015 11:20:00,2,0,74,1.63,8388608,1201249,14.32,0,8,64,5,5,8,10,33.95,1
05.11.2015 11:25:00,2,0,83,1.83,8388608,1307784,15.59,0,8,64,5,5,8,10,35.42,1
05.11.2015 11:30:00,2,0,70,1.54,8388608,1190343,14.19,0,8,64,5,5,8,10,33.730000000000004,1
05.11.2015 11:35:00,2,0,73,1.61,8388608,1089680,12.99,0,8,64,5,5,8,10,32.6,0
05.11.2015 11:40:00,2,0,74,1.61,8388608,848927,10.12,0,9,64,5,5,9,10,30.729999999999997,0
05.11.2015 11:45:00,2,0,71,1.56,8388608,994050,11.85,0,8,64,6,6,8,12,33.41,1
05.11.2015 11:50:00,2,0,73,1.6,8388608,932813,11.12,0,8,64,5,5,8,10,30.72,0
05.11.2015 11:55:00,2,0,73,1.59,8388608,848927,10.12,0,8,64,5,5,8,10,29.71,0
05.11.2015 12:00:00,2,0,70,1.53,8388608,943718,11.25,0,8,64,5,5,8,10,30.78,0
05.11.2015 12:05:00,2,0,74,1.62,8388608,1117363,13.32,0,9,64,5,5,9,10,33.94,1
05.11.2015 12:10:00,2,0,73,1.6,8388608,1100585,13.12,0,8,64,6,5,8,11,33.72,1
05.11.2015 12:15:00,2,0,71,1.56,8388608,955462,11.39,0,8,64,5,5,8,10,30.950000000000003,0
05.11.2015 12:20:00,2,0,75,1.64,8388608,977273,11.65,0,8,64,5,5,8,10,31.29,0
05.11.2015 12:25:00,2,0,83,1.81,8388608,1245708,14.85,0,9,64,5,5,9,10,35.66,1
05.11.2015 12:30:00,2,0,72,1.56,8388608,1050254,12.52,0,9,64,6,6,9,12,35.08,1
05.11.2015 12:35:00,2,0,74,1.63,8388608,893387,10.65,0,9,64,5,5,9,10,31.28,0
05.11.2015 12:40:00,2,0,72,1.57,8388608,1005794,11.99,0,8,64,5,5,8,10,31.560000000000002,0
05.11.2015 12:45:00,2,0,70,1.53,8388608,1027604,12.25,0,8,64,5,5,8,10,31.78,0
05.11.2015 12:50:00,2,0,73,1.6,8388608,943718,11.25,0,8,64,5,5,8,10,30.85,0
05.11.2015 12:55:00,2,0,73,1.6,8388608,1027604,12.25,0,8,64,5,5,8,10,31.85,0
05.11.2015 13:00:00,2,0,69,1.52,8388608,1100585,13.12,0,8,64,5,5,8,10,32.64,0
05.11.2015 13:05:00,2,0,73,1.61,8388608,932813,11.12,0,8,64,5,5,8,10,30.729999999999997,0
05.11.2015 13:10:00,2,0,71,1.56,8388608,932813,11.12,0,7,64,5,5,7,10,29.68,0
05.11.2015 13:15:00,2,0,73,1.61,8388608,1050254,12.52,0,7,64,6,6,7,12,33.129999999999995,1
05.11.2015 13:20:00,2,0,74,1.62,8388608,1050254,12.52,0,7,64,5,5,7,10,31.14,0
05.11.2015 13:25:00,2,0,84,1.84,8388608,1279263,15.25,0,7,64,5,5,7,10,34.09,1
05.11.2015 13:30:00,2,0,71,1.56,8388608,1312817,15.65,0,6,64,5,5,6,10,33.21,1
05.11.2015 13:35:00,2,0,75,1.65,8388608,910164,10.85,0,8,64,5,5,8,10,30.5,0
05.11.2015 13:40:00,2,0,73,1.6,8388608,910164,10.85,0,7,64,5,5,7,10,29.45,0
05.11.2015 13:45:00,2,0,70,1.54,8388608,893387,10.65,0,6,64,5,5,6,10,28.19,0
05.11.2015 13:50:00,2,0,75,1.63,8388608,955462,11.39,0,7,64,5,5,7,10,30.02,0
05.11.2015 13:55:00,2,0,72,1.58,8388608,821245,9.79,0,7,64,5,5,7,10,28.369999999999997,0
05.11.2015 14:00:00,2,0,73,1.6,8388608,859832,10.25,0,7,64,6,6,7,12,30.85,0
05.11.2015 14:05:00,2,0,76,1.66,8388608,888354,10.59,0,8,64,5,5,8,10,30.25,0
05.11.2015 14:10:00,2,0,73,1.6,8388608,804468,9.59,0,7,64,5,5,7,10,28.189999999999998,0
05.11.2015 14:15:00,2,0,71,1.56,8388608,821245,9.79,0,7,64,5,5,7,10,28.35,0
05.11.2015 14:20:00,2,0,71,1.56,8388608,1100585,13.12,0,7,64,5,5,7,10,31.68,0
05.11.2015 14:25:00,2,0,86,1.87,8388608,1128268,13.45,0,7,64,5,5,7,10,32.32,0
05.11.2015 14:30:00,2,0,69,1.51,8388608,1140012,13.59,0,6,64,5,5,6,10,31.1,0
05.11.2015 14:35:00,2,0,73,1.6,8388608,1033476,12.32,0,7,64,5,5,7,10,30.92,0
05.11.2015 14:40:00,2,0,70,1.53,8388608,1077936,12.85,0,7,64,5,5,7,10,31.38,0
05.11.2015 14:45:00,2,0,72,1.58,8388608,882482,10.52,0,7,64,6,6,7,12,31.1,0
05.11.2015 14:50:00,2,0,73,1.6,8388608,871576,10.39,0,7,64,5,5,7,10,28.990000000000002,0
05.11.2015 14:55:00,2,0,71,1.56,8388608,848927,10.12,0,7,64,5,5,7,10,28.68,0
05.11.2015 15:00:00,2,0,70,1.53,8388608,977273,11.65,0,6,64,5,5,6,10,29.18,0
05.11.2015 15:05:00,2,0,72,1.58,8388608,826278,9.85,0,7,64,5,5,7,10,28.43,0
05.11.2015 15:10:00,2,0,71,1.57,8388608,848927,10.12,0,7,64,5,5,7,10,28.689999999999998,0
05.11.2015 15:15:00,2,0,69,1.52,8388608,1044382,12.45,0,7,64,5,5,7,10,30.97,0
05.11.2015 15:20:00,2,0,73,1.59,8388608,994050,11.85,0,8,64,5,5,8,10,31.439999999999998,0
05.11.2015 15:25:00,2,0,82,1.8,8388608,1178599,14.05,0,8,64,5,5,8,10,33.85,1
05.11.2015 15:30:00,2,0,71,1.56,8388608,1312817,15.65,0,8,64,6,6,8,12,37.21,1
05.11.2015 15:35:00,2,0,74,1.61,8388608,1291007,15.39,0,8,64,5,5,8,10,35.0,1
05.11.2015 15:40:00,2,0,71,1.55,8388608,1100585,13.12,0,8,64,5,5,8,10,32.67,0
05.11.2015 15:45:00,2,0,69,1.52,8388608,1005794,11.99,0,8,64,5,5,8,10,31.509999999999998,0
05.11.2015 15:50:00,2,0,72,1.59,8388608,754136,8.99,0,8,64,5,5,8,10,28.58,0
05.11.2015 15:55:00,2,0,71,1.57,8388608,999922,11.92,0,8,64,5,5,8,10,31.490000000000002,0
05.11.2015 16:00:00,2,0,71,1.55,8388608,1027604,12.25,0,8,64,5,5,8,10,31.8,0
05.11.2015 16:05:00,2,0,74,1.62,8388608,1178599,14.05,0,9,64,5,5,9,10,34.67,1
05.11.2015 16:10:00,2,0,72,1.58,8388608,1134140,13.52,0,8,64,5,5,8,10,33.1,1
05.11.2015 16:15:00,2,0,71,1.57,8388608,848927,10.12,0,8,64,6,6,8,12,31.689999999999998,0
05.11.2015 16:20:00,2,0,72,1.57,8388608,1005794,11.99,0,9,64,5,5,9,10,32.56,0
05.11.2015 16:25:00,2,0,82,1.8,8388608,1184471,14.12,0,8,64,5,5,8,10,33.92,1
05.11.2015 16:30:00,2,0,70,1.54,8388608,1341338,15.99,0,8,64,5,5,8,10,35.53,1
05.11.2015 16:35:00,2,0,75,1.65,8388608,1089680,12.99,0,8,64,5,5,8,10,32.64,0
05.11.2015 16:40:00,2,0,73,1.6,8388608,1039349,12.39,0,9,64,5,5,9,10,32.99,1
05.11.2015 16:45:00,2,0,71,1.56,8388608,1089680,12.99,0,9,64,5,5,9,10,33.55,1
05.11.2015 16:50:00,2,0,73,1.6,8388608,989017,11.79,0,8,64,5,5,8,10,31.39,0
05.11.2015 16:55:00,2,0,72,1.57,8388608,838022,9.99,0,8,64,5,5,8,10,29.560000000000002,0
05.11.2015 17:00:00,2,0,72,1.57,8388608,1089680,12.99,0,8,64,6,6,8,12,34.56,1
05.11.2015 17:05:00,2,0,74,1.62,8388608,989017,11.79,0,8,64,5,5,8,10,31.41,0
05.11.2015 17:10:00,2,0,72,1.58,8388608,1156789,13.79,0,8,64,5,5,8,10,33.37,1
05.11.2015 17:15:00,2,0,69,1.51,8388608,1022571,12.19,0,8,64,5,5,8,10,31.7,0
05.11.2015 17:20:00,2,0,73,1.59,8388608,955462,11.39,0,9,64,6,5,9,11,32.980000000000004,1
05.11.2015 17:25:00,2,0,82,1.79,8388608,1307784,15.59,0,9,64,5,5,9,10,36.379999999999995,1
05.11.2015 17:30:00,2,0,69,1.52,8388608,1291007,15.39,0,8,64,5,5,8,10,34.91,1
05.11.2015 17:35:00,2,0,74,1.61,8388608,1056126,12.59,0,8,64,5,5,8,10,32.2,0
05.11.2015 17:40:00,2,0,71,1.56,8388608,955462,11.39,0,8,64,5,5,8,10,30.950000000000003,0
05.11.2015 17:45:00,2,0,73,1.59,8388608,888354,10.59,0,8,64,6,6,8,12,32.18,0
05.11.2015 17:50:00,2,0,73,1.6,8388608,888354,10.59,0,8,64,5,5,8,10,30.189999999999998,0
05.11.2015 17:55:00,2,0,73,1.61,8388608,821245,9.79,0,8,64,5,5,8,10,29.4,0
05.11.2015 18:00:00,2,0,71,1.55,8388608,838022,9.99,0,8,64,5,5,8,10,29.54,0
05.11.2015 18:05:00,2,0,74,1.62,8388608,1106457,13.19,0,8,64,5,5,8,10,32.81,1
05.11.2015 18:10:00,2,0,71,1.56,8388608,1089680,12.99,0,8,64,5,5,8,10,32.55,0
05.11.2015 18:15:00,2,0,71,1.54,8388608,955462,11.39,0,8,64,5,5,8,10,30.93,0
05.11.2015 18:20:00,2,0,72,1.58,8388608,1056126,12.59,0,6,64,5,5,6,10,30.17,0
05.11.2015 18:25:00,2,0,84,1.83,8388608,1207121,14.39,0,7,64,5,5,7,10,33.22,1
05.11.2015 18:30:00,2,0,71,1.57,8388608,1190343,14.19,0,6,64,6,6,6,12,33.76,1
05.11.2015 18:35:00,2,0,75,1.63,8388608,1391670,16.59,0,7,64,5,5,7,10,35.22,1
05.11.2015 18:40:00,2,0,71,1.56,8388608,1056126,12.59,0,7,64,5,5,7,10,31.15,0
05.11.2015 18:45:00,2,0,73,1.6,8388608,960496,11.45,0,7,64,5,5,7,10,30.049999999999997,0
05.11.2015 18:50:00,2,0,72,1.57,8388608,926941,11.05,0,7,64,5,5,7,10,29.62,0
05.11.2015 18:55:00,2,0,71,1.57,8388608,765041,9.12,0,9,64,5,5,9,10,29.689999999999998,0
05.11.2015 19:00:00,2,0,72,1.59,8388608,1083808,12.92,0,7,64,5,5,7,10,31.509999999999998,0
05.11.2015 19:05:00,2,0,72,1.59,8388608,1178599,14.05,0,8,64,5,5,8,10,33.64,1
05.11.2015 19:10:00,2,0,69,1.51,8388608,1341338,15.99,0,8,64,5,5,8,10,35.5,1
05.11.2015 19:15:00,2,0,71,1.56,8388608,1173566,13.99,0,8,64,6,6,8,12,35.55,1
05.11.2015 19:20:00,2,0,74,1.63,8388608,1056126,12.59,0,8,64,6,5,8,11,33.22,1
05.11.2015 19:25:00,2,0,83,1.83,8388608,1190343,14.19,0,8,64,5,5,8,10,34.019999999999996,1
05.11.2015 19:30:00,2,0,70,1.53,8388608,1307784,15.59,0,8,64,5,5,8,10,35.120000000000005,1
05.11.2015 19:35:00,2,0,73,1.6,8388608,938685,11.19,0,8,64,5,5,8,10,30.79,0
05.11.2015 19:40:00,2,0,71,1.56,8388608,787690,9.39,0,8,64,5,5,8,10,28.950000000000003,0
05.11.2015 19:45:00,2,0,69,1.52,8388608,905131,10.79,0,8,64,5,5,8,10,30.31,0
05.11.2015 19:50:00,2,0,73,1.61,8388608,888354,10.59,0,8,64,5,5,8,10,30.2,0
05.11.2015 19:55:00,2,0,74,1.61,8388608,972240,11.59,0,8,64,5,5,8,10,31.2,0
05.11.2015 20:00:00,2,0,72,1.59,8388608,1005794,11.99,0,8,64,6,6,8,12,33.58,1
05.11.2015 20:05:00,2,0,74,1.61,8388608,737359,8.79,0,8,64,5,5,8,10,28.4,0
05.11.2015 20:10:00,2,0,71,1.56,8388608,1140012,13.59,0,8,64,5,5,8,10,33.15,1
05.11.2015 20:15:00,2,0,71,1.55,8388608,821245,9.79,0,8,64,5,5,8,10,29.34,0
05.11.2015 20:20:00,2,0,73,1.59,8388608,854799,10.19,0,9,64,5,5,9,10,30.78,0
05.11.2015 20:25:00,2,0,83,1.82,8388608,1268358,15.12,0,9,64,5,5,9,10,35.94,1
05.11.2015 20:30:00,2,0,68,1.5,8388608,1207121,14.39,0,8,64,5,5,8,10,33.89,1
